id;itens;grupo
294;ar condicionado;itens_imovel
294;quintal;itens_imovel
295;iluminacao;itens_imovel
295;sala de estar;itens_imovel
297;sacada;itens_imovel
297;ar condicionado;itens_imovel
297;box;itens_imovel
297;elevador;itens_seg_e_cond
297;sala de estar;itens_imovel
297;armario;itens_imovel
298;elevador;itens_seg_e_cond
298;varanda;itens_imovel
298;sacada;itens_imovel
300;elevador;itens_seg_e_cond
300;banheiro de servico;itens_imovel
300;ventilador de teto;itens_imovel
300;box;itens_imovel
300;sala de estar;itens_imovel
300;sacada;itens_imovel
300;iluminacao;itens_imovel
300;armario;itens_imovel
301;portao eletronico;itens_seg_e_cond
301;gas encanado;itens_seg_e_cond
302;quintal;itens_imovel
302;varanda;itens_imovel
302;churrasqueira;itens_lazer
302;alarme;itens_seg_e_cond
302;lavabo;itens_imovel
302;armario;itens_imovel
302;box;itens_imovel
304;elevador;itens_seg_e_cond
304;box;itens_imovel
304;sala de estar;itens_imovel
304;sacada;itens_imovel
304;armario;itens_imovel
304;ventilador de teto;itens_imovel
304;banheiro de servico;itens_imovel
305;churrasqueira;itens_lazer
305;varanda;itens_imovel
305;piscina;itens_lazer
305;quintal;itens_imovel
305;armario;itens_imovel
306;sacada;itens_imovel
306;iluminacao;itens_imovel
306;ventilador de teto;itens_imovel
306;armario;itens_imovel
306;elevador;itens_seg_e_cond
306;box;itens_imovel
307;sacada;itens_imovel
307;banheiro de servico;itens_imovel
307;sala de estar;itens_imovel
307;armario;itens_imovel
307;box;itens_imovel
307;mobiliado;itens_imovel
308;box;itens_imovel
308;ar condicionado;itens_imovel
308;elevador;itens_seg_e_cond
308;iluminacao;itens_imovel
308;sala de estar;itens_imovel
308;armario;itens_imovel
308;sacada;itens_imovel
312;box;itens_imovel
312;quintal;itens_imovel
312;piscina;itens_lazer
312;armario;itens_imovel
312;churrasqueira;itens_lazer
314;quintal;itens_imovel
314;churrasqueira;itens_lazer
314;ar condicionado;itens_imovel
314;ventilador de teto;itens_imovel
314;iluminacao;itens_imovel
314;armario;itens_imovel
315;iluminacao;itens_imovel
315;sala de estar;itens_imovel
315;sacada;itens_imovel
318;elevador;itens_seg_e_cond
318;armario;itens_imovel
318;ventilador de teto;itens_imovel
318;sala de estar;itens_imovel
319;iluminacao;itens_imovel
319;churrasqueira;itens_lazer
319;armario;itens_imovel
319;varanda;itens_imovel
319;quintal;itens_imovel
319;ventilador de teto;itens_imovel
322;iluminacao;itens_imovel
322;churrasqueira;itens_lazer
322;ar condicionado;itens_imovel
322;escritorio;itens_imovel
322;armario;itens_imovel
322;varanda;itens_imovel
323;sacada;itens_imovel
323;box;itens_imovel
323;armario;itens_imovel
323;elevador;itens_seg_e_cond
325;armario;itens_imovel
325;sacada;itens_imovel
325;ar condicionado;itens_imovel
325;box;itens_imovel
329;sacada;itens_imovel
329;sala de estar;itens_imovel
329;elevador;itens_seg_e_cond
329;iluminacao;itens_imovel
329;armario;itens_imovel
329;box;itens_imovel
329;banheiro de servico;itens_imovel
332;box;itens_imovel
332;churrasqueira;itens_lazer
332;quintal;itens_imovel
332;ar condicionado;itens_imovel
335;sacada;itens_imovel
336;sacada;itens_imovel
336;iluminacao;itens_imovel
336;box;itens_imovel
