post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance,scraping_date,ingestion_timestamp
438,RBHY11,1.0500,1.3100,1.3433,4.0300,1.3800,8.2800,1.4067,16.8800,3.7209,6.3988,5.0797,80.2800,2.6700,2026,1.1444,91.7500,-2.5181,173726452.9900,11.9458,-1.4025,3.4413,1.1471,6.9040,1.1507,13.6980,1.1415,Papéis,papeis,79.35,357200.78,175627987.98,0.8665,0.8648501362397819,RBHY11,14,1381.4326267443,3429,0.88,0.12,10,2026-02-13,2026-02-13 20:07:10.248417
1856,RBIF11,0.9500,1.2200,1.6367,4.9100,1.4867,8.9200,1.4408,17.2900,3.4620,10.7681,4.7242,78.0000,3.6100,2026,,,,,,,,,,,,,Indefinido,indefinido,79,282321.13,0,0,,RBIF11,,1443.7165811691,0,0.80,,,2026-02-13,2026-02-13 20:07:10.248417
367,RBIR11,2.6167,2.8400,1.6733,5.0200,2.3450,14.0700,1.8833,22.6000,0.1412,3.5531,2.9852,92.1800,3.7300,2026,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,91.29,222723.78,137022258.2,1.0171,,RBIR11,14,1490.7293921831,1544,,2,20,2026-02-13,2026-02-13 20:07:10.248417
318,RBLG11,0.4000,0.0000,0.2200,0.2200,0.2200,0.2200,0.4808,5.7700,0.0000,,0.0000,,0.2200,2026,0.9340,65.3100,-35.0020,41811013.5700,-32.0020,-34.3949,2.3487,0.7829,4.7683,0.7947,56.8413,4.7368,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,58.04,833.82,42119440.99,0.8822,0.8886847343438983,RBLG11,1,8941.1454585859,240,,1,20,2026-02-13,2026-02-13 20:07:10.248417
1838,RBOP11,0.5500,0.2700,2.3933,7.1800,1.1967,7.1800,0.5983,7.1800,-5.1368,-40.3608,-4.8807,201.1100,7.1800,2026,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,207.5,15209.13,75299675.11,0.2816,,RBOP11,2,4227.9762252404,2686,,1.10,20,2026-02-13,2026-02-13 20:07:10.248417
440,RBRD11,0.5500,1.3300,0.5667,1.7000,0.3650,2.1900,0.2708,3.2500,-0.5989,3.9632,0.7231,41.4900,1.5300,2026,0.1273,64.8300,-2.0547,120054419.8700,-3.9078,-1.9300,1.8206,0.6069,4.1286,0.6881,8.8887,0.7407,Varejo,varejo,41.16,124216.13,120054419.87,0.6325,0.6348912540490513,RBRD11,4,1423.9045794339,7519,,0.17,,2026-02-13,2026-02-13 20:07:10.248417
234,RBRF11,0.3306,0.0000,0.0000,0.0000,0.3133,1.8800,0.6308,7.5700,0.0000,,0.0000,,9.4700,2025,1.4002,8.5700,-89.5296,1172603582.6200,-89.3183,-89.3830,2.7851,0.9284,4.8874,0.8146,10.6481,0.8873,Fundo de Fundos,fundo-de-fundos,6.53,2739709,1172603582.62,0.762,0.7619603267211202,RBRF11,1,1434.9236582463,111834,0.8,0.2,20,2026-02-13,2026-02-13 20:07:10.248417
84,RBRI11,103.8197,0.0000,0.0000,0.0000,7.1683,43.0100,6.9958,83.9500,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,650,452588.2,67910754.48,1.2833,,RBRI11,1,31867.080137428,133,1.5,0.2,,2026-02-13,2026-02-13 20:07:10.248417
304,RBRL11,0.7500,0.8000,0.8267,2.4800,0.8650,5.1900,0.9517,11.4200,0.8977,10.2174,1.7049,93.2900,1.6100,2026,0.7026,106.7400,-0.4848,713744362.6100,8.3676,0.2144,2.1278,0.7093,4.2639,0.7107,8.5316,0.7110,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,91.28,1372068.65,713744362.61,0.8595,0.8551620760727001,RBRL11,6,1689.0471730303,15568,1,0.18,20,2026-02-13,2026-02-13 20:07:10.248417
444,RBRM11,5302.0190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2024,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,94794.81,,2860101.93,17.8791,,RBRM11,14,,54,,,,2026-02-13,2026-02-13 20:07:10.248417
449,RBRP11,0.4000,0.7300,0.7367,2.2100,0.7650,4.5900,0.8292,9.9500,-0.2193,4.5476,0.5091,54.6100,1.4600,2026,0.4888,81.8400,0.1714,996771305.6300,4.6372,0.6610,1.5289,0.5096,3.0941,0.5157,6.4994,0.5416,Lajes Corporativas,lajes-corporativas,53.6,5689654.13,996771305.63,0.6623,0.6549364613880743,RBRP11,6,1786.304633396,57786,1,0.18,20,2026-02-13,2026-02-13 20:07:10.248417
