id;itens
204; 'elevador de servico: 1'
204;'apartamento por andar: 4'
204; 'quantidade de andares: 12'
205; 'portao eletronico'
205; 'salao de festa'
205; 'churrasqueira'
205; 'cameras de seguranca'
205; 'quantidade de andares: 6'
205; 'cerca eletrica'
205; 'portaria: 24hrs.'
205; 'piscina infantil'
205; 'espaco gourmet'
205; 'playground'
205; 'piscina adulto'
205; 'torre(s): 2'
205; 'gas encanado'
205; 'elevador social: 1'
205;'apartamento por andar: 4'
208; 'portaria: 24hrs.'
208; 'salao de jogos'
208; 'espaco gourmet'
208; 'piscina adulto'
208; 'cerca eletrica'
208;'churrasqueira'
208; 'playground'
208; 'fitness'
208; 'medidor de agua individual'
208; 'salao de festa'
208; 'gas encanado'
208; 'piscina infantil'
209; 'salao de festa'
209; 'quantidade de andares: 25'
209; 'espaco gourmet'
209; 'medidor de agua individual'
209; 'portao eletronico'
209; 'piscina adulto'
209; 'elevador social: 2'
209; 'gerador'
209; 'piscina infantil'
209; 'portaria: 24hrs.'
209; 'playground'
209; 'sauna'
209; 'fitness'
209; 'gas encanado'
209; 'elevador de servico: 1'
209; 'espaco kids'
209; 'quadra poliesportiva'
209; 'cinema'
209; 'cameras de seguranca'
209; 'torre(s): 1'
209;'apartamento por andar: 4'
209; 'salao de jogos'
212; 'salao de jogos'
212; 'cameras de seguranca'
212; 'salao de festa'
212; 'elevador social: 1'
212; 'quantidade de andares: 15'
212; 'elevador de servico: 1'
212; 'piscina infantil'
212; 'portaria: 24hrs.'
212; 'piscina adulto'
212; 'campo de futebol'
212; 'bicicletario'
212; 'espaco kids'
212; 'churrasqueira'
212; 'espaco gourmet'
212; 'playground'
212;'apartamento por andar: 6'
219;'apartamento por andar: 6'
219; 'quantidade de andares: 3'
223; 'portaria: 24hrs.'
223;'cameras de seguranca'
223; 'cerca eletrica'
227; 'cerca eletrica'
227; 'gas encanado'
227; 'portaria: 24hrs.'
227;'apartamento por andar: 4'
227; 'cameras de seguranca'
227; 'quantidade de andares: 3'
227; 'torre(s): 1'
230; 'salao de jogos'
230; 'elevador social: 1'
230; 'portaria: 24hrs.'
230;'apartamento por andar: 4'
230; 'cerca eletrica'
230; 'torre(s): 1'
230; 'playground'
230; 'salao de festa'
230; 'gas encanado'
230; 'quantidade de andares: 10'
230; 'cameras de seguranca'
230; 'elevador de servico: 1'
230; 'fitness'
244; 'torre(s): 4'
244; 'salao de festa'
244; 'salao de jogos'
244; 'gas encanado'
244; 'portaria: 24hrs.'
244; 'playground'
244; 'quantidade de andares: 4'
244; 'cerca eletrica'
244;'apartamento por andar: 6'
244; 'cameras de seguranca'
245; 'portaria: 24hrs.'
245; 'salao de festa'
245; 'playground'
245; 'piscina infantil'
245; 'salao de jogos'
245;'churrasqueira'
245; 'piscina adulto'
245; 'cerca eletrica'
245; 'cameras de seguranca'
246;'apartamento por andar: 8'
246; 'campo de futebol'
246; 'torre(s): 79'
246; 'churrasqueira'
246; 'pista de caminhada'
246; 'portaria: 24hrs.'
246; 'salao de festa'
246; 'playground'
246; 'piscina infantil'
246; 'quantidade de andares: 3'
246; 'gas encanado'
246; 'piscina adulto'
246; 'portao eletronico'
246; 'espaco kids'
247; 'cerca eletrica'
247; 'quantidade de andares: 4'
247; 'torre(s): 1'
247; 'cameras de seguranca'
247; 'portaria: 12hrs.'
247; 'gas encanado'
247;'apartamento por andar: 6'
251;'torre(s): 5'
254;'apartamento por andar: 4'
254; 'quantidade de andares: 4'
256; 'elevador de servico: 1'
256; 'torre(s): 1'
256; 'salao de festa'
256; 'cerca eletrica'
256; 'salao de jogos'
256; 'cameras de seguranca'
256; 'piscina adulto'
256;'apartamento por andar: 9'
256; 'quantidade de andares: 10'
256; 'elevador social: 3'
256; 'portaria: 24hrs.'
259; 'piscina infantil'
259; 'espaco gourmet'
259; 'fitness'
259;'churrasqueira'
259; 'quadra poliesportiva'
259; 'playground'
259; 'espaco kids'
259; 'piscina adulto'
259; 'salao de festa'
263;'quantidade de andares: 4'
263; 'cameras de seguranca'
263; 'torre(s): 1'
263; 'elevador social: 1'
263; 'gas encanado'
263; 'cerca eletrica'
264;'apartamento por andar: 4'
264; 'elevador social: 1'
264; 'portaria: 24hrs.'
264; 'cameras de seguranca'
264; 'torre(s): 1'
264; 'gas encanado'
